Entity,Year,CO2PerCapita,MeatSupplyKgPerCap,Code,Urban_Percentage,GDP_Per_Capita,Oils per-capita,meat per-capita,Food per-capita,Urban_Percentage_mean,GDP_Per_Capita_mean,Oils per-capita_mean,meat per-capita_mean,Food per-capita_mean,Country
India,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,India
Indonesia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Indonesia
Iran,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Iran
Iraq,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Iraq
Ireland,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Ireland
Israel,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Israel
Italy,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Italy
Jamaica,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Jamaica
Japan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Japan
Jordan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Jordan
Kazakhstan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Kazakhstan
Kenya,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Kenya
Kiribati,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Kiribati
Kuwait,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Kuwait
Kyrgyzstan,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Kyrgyzstan
Laos,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Laos
Latvia,2008.0,0.1538186,12.15,AFG,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,57.338800000000006,5733.8,0.0,0.7262528522908348,0.041985644048643786,Latvia
